,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,0.11298298835754395,0.007502096424512138,0.023296038309733074,0.0006021982094687265,86,0.0,8,5,0.18431380646108086,41,"OrderedDict([('max_depth', 86), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 8), ('min_samples_split', 5), ('min_weight_fraction_leaf', 0.18431380646108086), ('n_estimators', 41)])",-2.5267468640837913,-2.4681691645996184,-2.456928088411017,-2.483948039031475,0.030609312503044217,35
11,0.18469524383544922,0.03049889039458573,0.036882241566975914,0.0004387472093764472,25,0.9,2,9,0.19042564305539267,83,"OrderedDict([('max_depth', 25), ('min_impurity_decrease', 0.9), ('min_samples_leaf', 2), ('min_samples_split', 9), ('min_weight_fraction_leaf', 0.19042564305539267), ('n_estimators', 83)])",-2.596948330979125,-2.562234965658693,-2.5395222937696085,-2.5662351968024755,0.02361410347370053,42
12,0.39370179176330566,0.0053002591282204385,0.05723126729329427,0.004589014253746303,100,0.0,3,5,0.14676854158880986,234,"OrderedDict([('max_depth', 100), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 3), ('min_samples_split', 5), ('min_weight_fraction_leaf', 0.14676854158880986), ('n_estimators', 234)])",-2.466186715278493,-2.4149935682460306,-2.405948020563692,-2.429042768029405,0.02652307292592146,33
13,0.5531089305877686,0.012800462369524727,0.07100256284077962,0.0011424465757373901,100,0.0,2,10,0.033023674034561815,300,"OrderedDict([('max_depth', 100), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 2), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.033023674034561815), ('n_estimators', 300)])",-2.3845545200739022,-2.33382915812342,-2.3351563504419723,-2.351180009546431,0.02360556183859782,26
14,0.9853361447652181,0.02980769700372593,0.07960979143778484,0.005968069699767333,100,0.0,2,10,0.0,300,"OrderedDict([('max_depth', 100), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 2), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.3760596089937596,-2.3529205925715737,-2.324900016626691,-2.351293406064008,0.020917485105989758,27
15,0.8869362672170004,0.03189584983338162,0.0799100399017334,0.0054094552755064055,100,0.0,9,2,0.0,300,"OrderedDict([('max_depth', 100), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 9), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.36385588535259,-2.340276851863622,-2.3090299982354083,-2.337720911817207,0.022455423942960677,22
16,0.7792609532674154,0.06006693461456224,0.07637159029642741,0.00590748939943798,10,0.0,9,2,0.0,300,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 9), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.352508856575589,-2.329346568757475,-2.3044354613320377,-2.328763628888367,0.01963020965635909,13
17,0.199723482131958,0.021142872315100328,0.023736079533894856,0.0006945507737375406,10,0.0,9,3,0.0,30,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 9), ('min_samples_split', 3), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 30)])",-2.3607954983726196,-2.3382690912247956,-2.3083087506449367,-2.335791113414117,0.021499146530037226,19
18,0.4921281337738037,0.023732536858112073,0.07593965530395508,0.00430117053775648,10,0.13287242379464798,2,2,0.0025467329390310143,300,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.13287242379464798), ('min_samples_leaf', 2), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.0025467329390310143), ('n_estimators', 300)])",-2.4461208500852747,-2.385741007253368,-2.374629832006379,-2.4021638964483407,0.03141151469999504,30
19,0.47548381487528485,0.03130238287836873,0.06159520149230957,0.0002612811647996575,66,0.0,9,3,0.044667057001790585,246,"OrderedDict([('max_depth', 66), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 9), ('min_samples_split', 3), ('min_weight_fraction_leaf', 0.044667057001790585), ('n_estimators', 246)])",-2.3926731664050345,-2.344505974172531,-2.344912462579885,-2.360697201052483,0.022611030912322208,29
20,0.7940581639607748,0.026369567457374482,0.07197062174479167,0.0006601649393336747,10,0.0,9,10,0.0,300,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 9), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.351842403034153,-2.326180890591619,-2.303446187722183,-2.3271564937826517,0.019769711940582465,4
21,0.4289468129475911,0.019739287517289344,0.05757912000020345,0.003743102819844488,63,0.13667823447003474,9,8,0.00048049573695296843,223,"OrderedDict([('max_depth', 63), ('min_impurity_decrease', 0.13667823447003474), ('min_samples_leaf', 9), ('min_samples_split', 8), ('min_weight_fraction_leaf', 0.00048049573695296843), ('n_estimators', 223)])",-2.446291929769235,-2.3952925677648427,-2.3758552908137878,-2.4058132627826216,0.029702343281048222,31
22,0.2760837872823079,0.010519941950963039,0.05072760581970215,0.000494182307532366,17,0.6268228338044102,2,5,0.002052618560583031,171,"OrderedDict([('max_depth', 17), ('min_impurity_decrease', 0.6268228338044102), ('min_samples_leaf', 2), ('min_samples_split', 5), ('min_weight_fraction_leaf', 0.002052618560583031), ('n_estimators', 171)])",-2.5883904889610703,-2.5450456413795366,-2.4797212128694315,-2.5377191144033464,0.044665507868449895,38
23,0.4903392791748047,0.017700516185544555,0.05240273475646973,0.0008789249961162398,22,0.000828990018010001,5,9,0.002132666796267613,150,"OrderedDict([('max_depth', 22), ('min_impurity_decrease', 0.000828990018010001), ('min_samples_leaf', 5), ('min_samples_split', 9), ('min_weight_fraction_leaf', 0.002132666796267613), ('n_estimators', 150)])",-2.351597107378604,-2.330938408697867,-2.3049034976690286,-2.3291463379151662,0.019104657986909877,15
24,0.6261546611785889,0.018642770139920252,0.06439773241678874,0.0061754600566133805,94,0.0026816278675877003,6,8,0.006946301850282723,268,"OrderedDict([('max_depth', 94), ('min_impurity_decrease', 0.0026816278675877003), ('min_samples_leaf', 6), ('min_samples_split', 8), ('min_weight_fraction_leaf', 0.006946301850282723), ('n_estimators', 268)])",-2.3517448306703215,-2.3246017271121415,-2.304311163431242,-2.326885907071235,0.01943195487680145,3
25,0.5764133930206299,0.02686726212785078,0.06095274289449056,0.0006145974193975686,10,0.009090468480768978,6,4,0.002520224947701544,239,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.009090468480768978), ('min_samples_leaf', 6), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.002520224947701544), ('n_estimators', 239)])",-2.3486818719001037,-2.321731065418331,-2.2993052032952424,-2.323239380204559,0.02018613568350549,1
26,0.7951486110687256,0.027542440918085335,0.07178155581156413,0.0016617578313446305,10,0.0,7,10,0.0,300,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 7), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.3531631467011964,-2.3245310068975784,-2.3044931434729827,-2.327395765690586,0.01997243827153089,6
27,0.4310309886932373,0.023631792465409404,0.08064071337381999,0.028086758821125955,33,0.004339320001176606,5,3,0.03225476333897343,212,"OrderedDict([('max_depth', 33), ('min_impurity_decrease', 0.004339320001176606), ('min_samples_leaf', 5), ('min_samples_split', 3), ('min_weight_fraction_leaf', 0.03225476333897343), ('n_estimators', 212)])",-2.382407427579801,-2.3330144026343866,-2.3341717249262612,-2.3498645183801496,0.023016161757981934,25
28,0.09981195131937663,0.018315431426734,0.022422154744466145,0.0006586845718290573,81,0.8953700345408404,9,4,0.28726583944553014,34,"OrderedDict([('max_depth', 81), ('min_impurity_decrease', 0.8953700345408404), ('min_samples_leaf', 9), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.28726583944553014), ('n_estimators', 34)])",-2.6042448772714404,-2.566462833754394,-2.540299912768215,-2.5703358745980163,0.02624868193975929,43
29,0.7662467161814371,0.0329535254719797,0.0796365737915039,0.004584221760146812,10,0.0,7,6,0.0,300,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 7), ('min_samples_split', 6), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.3528109897203064,-2.3281685026029915,-2.303575834562787,-2.3281851089620282,0.02010017135374105,8
30,0.22433137893676758,0.010107261071655105,0.023073275883992512,0.0005772291005502023,100,0.0,6,10,0.0,30,"OrderedDict([('max_depth', 100), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 6), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 30)])",-2.3851832896468297,-2.356762041560085,-2.333269949667118,-2.3584050936246777,0.021225353268006442,28
31,0.4715429941813151,0.014935273348363759,0.05867870648701986,0.005212720502088647,14,0.00024563189909185826,9,2,0.015247013693921178,207,"OrderedDict([('max_depth', 14), ('min_impurity_decrease', 0.00024563189909185826), ('min_samples_leaf', 9), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.015247013693921178), ('n_estimators', 207)])",-2.363102526321593,-2.327353328623224,-2.320088728702944,-2.3368481945492534,0.018800018716470877,20
32,0.7477011680603027,0.02089910709584255,0.07130273183186848,0.0009054139530164932,10,0.0,2,2,0.0,300,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 2), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-2.3538596373084752,-2.3253241577551838,-2.307799439991405,-2.3289944116850214,0.01898224639242296,14
33,0.6708495616912842,0.06017477923512479,0.06226364771525065,0.000857469921822017,10,0.0,2,10,0.0,224,"OrderedDict([('max_depth', 10), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 2), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 224)])",-2.3557450437950544,-2.3266288709683454,-2.3052981408134783,-2.329224018525626,0.02067645356826914,16
