,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__n_neighbors,param_base_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14,13.351229985555014,0.5866661358306013,22.763602256774902,0.5385762117783459,1,1,0.9380977808682327,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.9380977808682327), ('max_samples', 1.0), ('n_estimators', 1000)])",-2.245866002855978,-2.3227353723950954,-2.2827214492841534,-2.283774274845076,0.03139061775522155,48
15,5.832763036092122,0.24791066341493437,8.614261706670126,0.13085282308031929,7,1,0.5500767475767294,0.6980022028437871,1000,"OrderedDict([('base_estimator__n_neighbors', 7), ('base_estimator__p', 1), ('max_features', 0.5500767475767294), ('max_samples', 0.6980022028437871), ('n_estimators', 1000)])",-1.9254649900473602,-2.1060261846395485,-2.082379943933646,-2.037957039540185,0.08012753198995735,16
16,1.5378196239471436,0.025326059151283224,2.8952476183573403,0.07595790877272375,8,1,0.1,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 8), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9083347310451766,-2.101478266081744,-2.069764111128757,-2.0265257027518926,0.08457058689177464,12
17,12.153063694636026,0.4824024871168625,24.573520580927532,1.4553521146577653,11,1,1.0,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 11), ('base_estimator__p', 1), ('max_features', 1.0), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9408640235286563,-2.1062735448174386,-2.097845420373572,-2.0483276629065554,0.07606612764197442,22
18,1.564011812210083,0.054551625187576905,2.715294043223063,0.13644824172720105,4,1,0.1,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 4), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.903574613911685,-2.0845819172057225,-2.041859726103142,-2.0100054190735164,0.07725254523832066,5
19,1.573201100031535,0.04749257370648325,1.6347326437632244,0.04004372400370134,2,2,0.1,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 2), ('base_estimator__p', 2), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9619379552051632,-2.1477399185871935,-2.1075371486571037,-2.0724050074831535,0.0798176793563686,33
20,12.46358029047648,0.1391337325824762,23.624097267786663,0.7140898420462726,20,1,1.0,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 20), ('base_estimator__p', 1), ('max_features', 1.0), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9210700974184782,-2.1298090754803813,-2.1120493688405735,-2.0543095139131444,0.09449306279955984,26
21,0.3443772792816162,0.023999115626920253,0.6083767414093018,0.023793479495045997,20,1,0.1,0.1,1000,"OrderedDict([('base_estimator__n_neighbors', 20), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 0.1), ('n_estimators', 1000)])",-2.1536542395661686,-2.469851766477112,-2.3546614970976774,-2.3260558343803193,0.13066224132159374,49
22,3.6698554356892905,0.0905085931176891,5.926402409871419,0.04097548710150559,15,1,0.25900832496460435,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 15), ('base_estimator__p', 1), ('max_features', 0.25900832496460435), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.9150138153436596,-2.1109704199237056,-2.094646613914754,-2.040210283060706,0.08877774986738378,17
23,0.6491583188374838,0.5770649064057788,0.3992476463317871,0.049936356967743234,17,1,0.7955975562723625,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 17), ('base_estimator__p', 1), ('max_features', 0.7955975562723625), ('max_samples', 1.0), ('n_estimators', 10)])",-1.9154324015984656,-2.129503642426671,-2.1161821239312117,-2.0537060559854496,0.09792537409308007,25
