,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__leaf_size,param_estimator__n_neighbors,param_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,0.15891710917154947,0.005222667089963411,2.6872750918070474,0.1138946468937554,3,15,1,1.0,1.0,5,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 15), ('estimator__p', 1), ('max_features', 1.0), ('max_samples', 1.0), ('n_estimators', 5)])",-2.437049049774981,-2.4054555849897223,-2.3869985682312334,-2.4098344009986454,0.0206662881350322,44
31,0.5357434749603271,0.4888774752357653,0.8107128938039144,0.06158846487515509,3,8,2,0.8212642212197132,0.17177060529319135,100,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 8), ('estimator__p', 2), ('max_features', 0.8212642212197132), ('max_samples', 0.17177060529319135), ('n_estimators', 100)])",-2.394246876085705,-2.3459585941079877,-2.334798009842177,-2.35833449334529,0.02579940678722569,30
32,0.14866836865743002,0.042496556214044065,1.2186704476674397,0.02742458682988731,3,6,1,0.9902336713879453,0.17806316636000466,81,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 6), ('estimator__p', 1), ('max_features', 0.9902336713879453), ('max_samples', 0.17806316636000466), ('n_estimators', 81)])",-2.392752006071018,-2.3458010989533995,-2.325637294566824,-2.3547301331970805,0.028117513693620647,26
33,0.1255173683166504,0.0485030189778167,0.10860768953959148,0.005276076785094646,3,4,2,0.3941705880749381,0.28751343800315,67,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 4), ('estimator__p', 2), ('max_features', 0.3941705880749381), ('max_samples', 0.28751343800315), ('n_estimators', 67)])",-2.4148171643936354,-2.3701171298697963,-2.3392049043930476,-2.3747130662188263,0.031039173515547223,43
34,0.46087098121643066,0.4594138191426961,0.16182947158813477,0.004952262272826521,100,20,1,0.5572581826512474,0.1,52,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.5572581826512474), ('max_samples', 0.1), ('n_estimators', 52)])",-2.3957995776333667,-2.339887217297764,-2.3318915074521303,-2.3558594341277534,0.028429962380331745,29
35,0.18868104616800943,0.044602357121357,0.3558659553527832,0.14184294856199592,100,3,1,0.850168854984452,0.1,86,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 0.850168854984452), ('max_samples', 0.1), ('n_estimators', 86)])",-2.385556592577564,-2.3426912603513887,-2.3233531852238296,-2.350533679384261,0.025992865993307013,16
36,0.34948142369588214,0.3247201772062418,0.12400317192077637,0.014531896739396536,33,20,1,0.45830266549983334,0.3281028005746635,5,"OrderedDict([('estimator__leaf_size', 33), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.45830266549983334), ('max_samples', 0.3281028005746635), ('n_estimators', 5)])",-2.4023947781621855,-2.3553755616004586,-2.3485683109303994,-2.3687795502310145,0.02393146223516495,38
37,0.6235856215159098,0.5653086290493102,0.7588160037994385,0.007140341000609088,82,20,1,0.5352959192267823,0.738603681077005,100,"OrderedDict([('estimator__leaf_size', 82), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.5352959192267823), ('max_samples', 0.738603681077005), ('n_estimators', 100)])",-2.3802536833958094,-2.3321488940419477,-2.3138406040847714,-2.3420810605075095,0.028007858705707104,1
38,0.875722328821818,0.996247802333371,0.8534820079803467,0.06663909503142436,3,20,1,0.6723699896769239,0.6581723262330531,38,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.6723699896769239), ('max_samples', 0.6581723262330531), ('n_estimators', 38)])",-2.382493112672189,-2.33436330028833,-2.3192094472730576,-2.3453552867445255,0.026979293310206136,6
39,0.32023199399312335,0.19847433333820522,0.6524867216746012,0.12371774119246776,100,10,1,0.6335399265530448,1.0,53,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 10), ('estimator__p', 1), ('max_features', 0.6335399265530448), ('max_samples', 1.0), ('n_estimators', 53)])",-2.3868264530382435,-2.342099664340353,-2.321982948294181,-2.350303021890926,0.027100323899666004,15
40,0.20489112536112467,0.04442112104830521,0.5055967966715494,0.1418078724948609,100,11,1,0.5424302022532134,0.509253823832722,80,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 11), ('estimator__p', 1), ('max_features', 0.5424302022532134), ('max_samples', 0.509253823832722), ('n_estimators', 80)])",-2.3826960344612997,-2.3359729413261214,-2.313079839507347,-2.343916271764923,0.02897039895953205,4
41,0.3039153416951497,0.17986354607347463,0.8151220480600992,0.028136420973467084,100,20,1,0.823581351691435,0.7223871142768837,59,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.823581351691435), ('max_samples', 0.7223871142768837), ('n_estimators', 59)])",-2.3881782247483807,-2.338093940031283,-2.320828806100988,-2.349033656960217,0.028562727494637206,11
42,0.2116236686706543,0.018655460386497482,0.8919147650400797,0.020542698068516024,3,9,1,0.658696275321272,0.44082554615971403,66,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 9), ('estimator__p', 1), ('max_features', 0.658696275321272), ('max_samples', 0.44082554615971403), ('n_estimators', 66)])",-2.385195751852526,-2.3349505881799497,-2.3161317949931197,-2.345426045008532,0.02915200314552555,7
43,0.12612231572469076,0.044034616226478175,0.185040553410848,0.0036829244559996688,100,3,1,0.5862188679152892,0.1,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 0.5862188679152892), ('max_samples', 0.1), ('n_estimators', 100)])",-2.3843346209229597,-2.3369151522639706,-2.319068047100949,-2.346772606762626,0.027541586392348487,10
44,0.16344118118286133,0.05327775391998404,0.5541795889536539,0.02743622503647504,100,20,1,0.5961470731785556,1.0,67,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.5961470731785556), ('max_samples', 1.0), ('n_estimators', 67)])",-2.383394370530286,-2.335105806243699,-2.313295108053778,-2.343931761609254,0.029290496365700514,5
45,0.563855250676473,0.5471882666425641,0.4764297803243001,0.004248338793978053,3,20,1,0.5053463321652147,0.6094224549026176,49,"OrderedDict([('estimator__leaf_size', 3), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.5053463321652147), ('max_samples', 0.6094224549026176), ('n_estimators', 49)])",-2.3806096751475443,-2.334024666527598,-2.3161835815088074,-2.34360597439465,0.027160405994992618,3
46,0.34259462356567383,0.195498062704257,0.5546131134033203,0.13992763272047673,100,13,1,0.596271286604153,0.47898876437013893,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 13), ('estimator__p', 1), ('max_features', 0.596271286604153), ('max_samples', 0.47898876437013893), ('n_estimators', 100)])",-2.3806069860332686,-2.3318342372504937,-2.314877888572045,-2.3424397039519356,0.027861987321238804,2
47,0.1430786450703939,0.042427055058650014,0.37487975756327313,0.003913646780072931,100,20,1,0.4379523796173329,0.45642545111679855,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.4379523796173329), ('max_samples', 0.45642545111679855), ('n_estimators', 100)])",-2.387993591311713,-2.3371902711864334,-2.323676362763949,-2.3496200750873655,0.027689366078912536,14
48,0.4123500982920329,0.39892524865706747,0.29602940877278644,0.01374631278657469,77,20,1,0.5943961401965593,1.0,7,"OrderedDict([('estimator__leaf_size', 77), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.5943961401965593), ('max_samples', 1.0), ('n_estimators', 7)])",-2.3942802135716326,-2.3457812897441146,-2.3233965976817044,-2.354486033665817,0.02958548265016176,25
49,0.5985414187113444,0.5417596089092014,0.6762118339538574,0.022390492634772097,100,20,2,0.6251201737978407,0.6848527956222275,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 20), ('estimator__p', 2), ('max_features', 0.6251201737978407), ('max_samples', 0.6848527956222275), ('n_estimators', 100)])",-2.38316821502889,-2.334493656788613,-2.321343961434642,-2.346335277750715,0.02659232437351116,9
