,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_colsample_bylevel,param_colsample_bynode,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,47.943249781926475,0.09212312795438508,0.050540924072265625,0.0008300447784167087,gbtree,0.8,0.5274331168676816,0.7449932611673464,0.1709474004307246,0.017395606719188723,3,2000,6,6,0.4,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.8), ('colsample_bynode', 0.5274331168676816), ('colsample_bytree', 0.7449932611673464), ('gamma', 0.1709474004307246), ('learning_rate', 0.017395606719188723), ('max_depth', 3), ('n_estimators', 2000), ('reg_alpha', 6), ('reg_lambda', 6), ('subsample', 0.4)])",-17.561963328848716,-18.230998304299504,-17.73823710217502,-17.843732911774413,0.2831359790823517,12
11,31.731913805007935,3.1590673668848672,0.054601033528645836,0.008839860781192872,gbtree,0.2,0.2,0.8,0.5533417896790809,0.05,4,2000,10,15,0.6719375566925765,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.2), ('colsample_bynode', 0.2), ('colsample_bytree', 0.8), ('gamma', 0.5533417896790809), ('learning_rate', 0.05), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 10), ('reg_lambda', 15), ('subsample', 0.6719375566925765)])",-17.4551953777023,-18.522673027391978,-17.87580609582161,-17.95122483363863,0.43904678767923594,22
12,49.07695007324219,0.08010783468015999,0.0933988889058431,0.029539663082965815,gbtree,0.4871497605346472,0.8,0.2,0.10284151227353498,0.001,4,2000,0,1,0.43920054301108685,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.4871497605346472), ('colsample_bynode', 0.8), ('colsample_bytree', 0.2), ('gamma', 0.10284151227353498), ('learning_rate', 0.001), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.43920054301108685)])",-18.841577592103377,-20.313127237054893,-19.248347657625793,-19.467684162261353,0.6204546537760528,32
13,65.72962951660156,0.3168526126097548,0.06967592239379883,0.027334101345222767,gbtree,0.2,0.8,0.8,1.0,0.001,4,2000,0,15,0.4,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.2), ('colsample_bynode', 0.8), ('colsample_bytree', 0.8), ('gamma', 1.0), ('learning_rate', 0.001), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 0), ('reg_lambda', 15), ('subsample', 0.4)])",-20.547407865524292,-22.245567742745298,-20.25705773713159,-21.016677781800393,0.8770038773566099,35
14,65.38911986351013,2.4572323048838483,0.04757976531982422,0.0014101323648771028,gbtree,0.8,0.6682294605694772,0.8,0.1,0.05,4,2000,10,13,0.7914397212381301,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.8), ('colsample_bynode', 0.6682294605694772), ('colsample_bytree', 0.8), ('gamma', 0.1), ('learning_rate', 0.05), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 10), ('reg_lambda', 13), ('subsample', 0.7914397212381301)])",-17.623682942079462,-18.61599105450373,-17.931922237729765,-18.057198744770986,0.4146801979904438,26
15,25.15913224220276,0.12554629210795656,0.05574886004130045,0.006948727713430638,gbtree,0.5847161435384027,0.668890347729248,0.2,0.6533573693929332,0.001,3,2000,0,5,0.4,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.5847161435384027), ('colsample_bynode', 0.668890347729248), ('colsample_bytree', 0.2), ('gamma', 0.6533573693929332), ('learning_rate', 0.001), ('max_depth', 3), ('n_estimators', 2000), ('reg_alpha', 0), ('reg_lambda', 5), ('subsample', 0.4)])",-19.453361526779506,-21.06893334141869,-19.668005844282973,-20.063433570827055,0.7163753146938185,34
16,10.726773341496786,0.06460538943664107,0.06903115908304851,0.02490523543026182,gbtree,0.7276307699533342,0.2,0.2,1.0,0.016589187797563684,2,2000,4,1,0.5896021173224236,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.7276307699533342), ('colsample_bynode', 0.2), ('colsample_bytree', 0.2), ('gamma', 1.0), ('learning_rate', 0.016589187797563684), ('max_depth', 2), ('n_estimators', 2000), ('reg_alpha', 4), ('reg_lambda', 1), ('subsample', 0.5896021173224236)])",-17.341834869073786,-18.367199817210516,-17.851528086948917,-17.85352092441107,0.4186058589872838,14
17,11.12138001124064,0.028458952118748423,0.058894952138264976,0.016483692870478444,gbtree,0.7290074562446756,0.2585221595184593,0.2,0.1,0.05,2,2000,2,1,0.6394252419498427,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.7290074562446756), ('colsample_bynode', 0.2585221595184593), ('colsample_bytree', 0.2), ('gamma', 0.1), ('learning_rate', 0.05), ('max_depth', 2), ('n_estimators', 2000), ('reg_alpha', 2), ('reg_lambda', 1), ('subsample', 0.6394252419498427)])",-18.13791555814121,-18.410122734974127,-18.12116195074196,-18.223066747952434,0.13244527813583337,31
18,59.090867360432945,0.06223489959146943,0.0664962927500407,0.01657169482974013,gbtree,0.45494195221474887,0.6520086517276332,0.4429220804615352,0.6358739121111231,0.007319869640041167,4,2000,2,1,0.5345021026777755,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.45494195221474887), ('colsample_bynode', 0.6520086517276332), ('colsample_bytree', 0.4429220804615352), ('gamma', 0.6358739121111231), ('learning_rate', 0.007319869640041167), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 2), ('reg_lambda', 1), ('subsample', 0.5345021026777755)])",-17.259449606356412,-18.20933027033585,-17.99429722822429,-17.821025701638852,0.4066821735249295,7
19,70.40933418273926,0.13408466525122367,0.0760195255279541,0.03499573782415845,gbtree,0.658898785668486,0.6739822368306373,0.4261079787140884,0.9311500370915958,0.001,4,2000,2,2,0.46957431609461625,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.658898785668486), ('colsample_bynode', 0.6739822368306373), ('colsample_bytree', 0.4261079787140884), ('gamma', 0.9311500370915958), ('learning_rate', 0.001), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 2), ('reg_lambda', 2), ('subsample', 0.46957431609461625)])",-18.996045599813048,-20.45194419528223,-19.245678234621476,-19.564556009905587,0.635700378454028,33
