,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
22,0.003469228744506836,0.0007517789089539025,0.1386860211690267,0.006676420737969715,3,9,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 9), ('p', 1)])",-2.0159734042874398,-2.0412493941871026,-2.082662382513661,-2.0466283936627345,0.027490061000702243,19
23,0.0030088424682617188,0.0003171610587660871,0.01352381706237793,0.002660088245708697,300,21,2,"OrderedDict([('leaf_size', 300), ('n_neighbors', 21), ('p', 2)])",-2.108208420160455,-2.110817706370832,-2.1789270810564663,-2.132651069195918,0.03273941609049793,40
24,0.0035502115885416665,0.0007481219258443178,0.15781370798746744,0.00482860080907055,3,45,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 45), ('p', 1)])",-2.0529411700483093,-2.0742554632758097,-2.1455683628415305,-2.09092166538855,0.03960867691836534,34
25,0.0035157203674316406,0.0007630790890623179,0.16130447387695312,0.010178568399005437,294,33,1,"OrderedDict([('leaf_size', 294), ('n_neighbors', 33), ('p', 1)])",-2.031664568428854,-2.0665982884980596,-2.1361785708726613,-2.078147142599858,0.043442116277521266,32
26,0.0039895375569661455,0.0007136399332208557,0.1537334124247233,0.003135465339927749,3,10,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
27,0.0032706260681152344,0.00040643429000826713,0.028188467025756836,0.022467670556205528,3,36,2,"OrderedDict([('leaf_size', 3), ('n_neighbors', 36), ('p', 2)])",-2.1244853511473427,-2.1268037948077505,-2.1884055668639952,-2.1465649042730295,0.029600952459787527,45
28,0.003309965133666992,0.0003666765098015471,0.02660234769185384,0.022142086105486267,6,10,2,"OrderedDict([('leaf_size', 6), ('n_neighbors', 10), ('p', 2)])",-2.0437409758152176,-2.1070925490463215,-2.1540185633879783,-2.1016173627498396,0.04518679622008229,37
29,0.003164211908976237,8.9960679532348e-05,0.13944713274637857,0.014519389895752657,4,10,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
30,0.003043095270792643,0.0002464562680903065,0.01333316167195638,0.0024380215056874705,5,25,2,"OrderedDict([('leaf_size', 5), ('n_neighbors', 25), ('p', 2)])",-2.129021898152174,-2.1183519271934603,-2.1800519841530055,-2.14247526983288,0.026925442297663346,42
31,0.00403587023417155,0.0007915425571570325,0.1475102106730143,0.006712755131054762,300,10,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
32,0.0028634071350097656,0.00010802878857698952,0.012037197748819986,0.001897538280944941,4,17,2,"OrderedDict([('leaf_size', 4), ('n_neighbors', 17), ('p', 2)])",-2.1063693574168796,-2.1378682553293795,-2.1636327418836387,-2.1359567848766328,0.023416718950581186,41
33,0.003214677174886068,0.0012341090457180588,0.1862033208211263,0.010218055188009069,4,10,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
34,0.003281116485595703,0.0012125622503992583,0.16033856074015299,0.01736656021261438,4,17,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 17), ('p', 1)])",-2.0265314458120205,-2.048075861516269,-2.091625619897139,-2.0554109757418093,0.027076013991258332,22
35,0.003810405731201172,0.0008877938946125398,0.1457822322845459,0.004653009929574268,299,10,1,"OrderedDict([('leaf_size', 299), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
36,0.0038952032725016275,0.000772373177222176,0.16527954737345377,0.012064437721412063,4,10,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
37,0.0028924942016601562,6.918275625972565e-05,0.014525651931762695,0.0021126336170190405,298,46,2,"OrderedDict([('leaf_size', 298), ('n_neighbors', 46), ('p', 2)])",-2.1225174879489606,-2.1180328382893023,-2.189599134948919,-2.1433831537290606,0.032730879514898406,43
38,0.002583742141723633,0.00035265130267500436,0.15907812118530273,0.0027523934826634818,11,39,1,"OrderedDict([('leaf_size', 11), ('n_neighbors', 39), ('p', 1)])",-2.0403526732162764,-2.0587693749738,-2.1322748430713188,-2.077132297087132,0.03970994005804282,30
39,0.003510077794392904,2.6452168577166424e-05,0.17027616500854492,0.019542647899015185,300,10,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
40,0.004559834798177083,0.0010585626740844307,0.14310550689697266,0.013502218778570505,4,10,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
41,0.003405968348185221,0.0002830536547775032,0.13372047742207846,0.006098892907390141,6,50,1,"OrderedDict([('leaf_size', 6), ('n_neighbors', 50), ('p', 1)])",-2.0625883433695655,-2.0742108922615805,-2.1501549729508196,-2.095651402860655,0.03883083203775848,36
42,0.00415492057800293,0.0012382958812908755,0.13243468602498373,0.003982901377934156,299,10,1,"OrderedDict([('leaf_size', 299), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
43,0.0037491321563720703,0.0010768786506825255,0.15245985984802246,0.021119874865970056,300,10,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
44,0.0037560462951660156,0.0010428921028424348,0.1491250197092692,0.00710110465279474,4,10,1,"OrderedDict([('leaf_size', 4), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
45,0.0037631988525390625,0.0010506468111419092,0.13676651318868002,0.0029899819307711234,299,10,1,"OrderedDict([('leaf_size', 299), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
46,0.003763596216837565,0.0010400846548952875,0.1447137991587321,0.014565949624320425,3,10,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
47,0.0037690003712972007,0.00120340215822319,0.16438698768615723,0.013538405153558693,299,10,1,"OrderedDict([('leaf_size', 299), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
48,0.003444115320841471,4.1926132913851134e-05,0.16665172576904297,0.03387396192185035,3,10,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
49,0.0029610792795817056,0.0005214476260239281,0.173492431640625,0.04411005064764799,294,10,1,"OrderedDict([('leaf_size', 294), ('n_neighbors', 10), ('p', 1)])",-2.018196660326087,-2.0387005534059943,-2.0622161920765025,-2.0397044686028614,0.01798491364400248,1
