,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_layer1,param_layer2,param_learning_rate,param_learning_rate_init,param_num_hl,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,785.8346547285715,30.949768056626375,0.5227576096852621,0.005976390511982867,tanh,4.4065381235731554e-05,8,1917,505,adaptive,0.03823668047206233,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 4.4065381235731554e-05), ('batch_size', 8), ('layer1', 1917), ('layer2', 505), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.03823668047206233), ('num_hl', 2), ('solver', 'adam')])",-2.6709514423208334,-4.509698088825145,-2.874974153300039,-3.351874561482006,0.8229308626289363,29
11,174.54319779078165,20.294869284949833,0.27832333246866864,0.0030332036626672604,tanh,6.868089001978907e-05,256,1010,414,adaptive,0.00020590536556569608,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.868089001978907e-05), ('batch_size', 256), ('layer1', 1010), ('layer2', 414), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.00020590536556569608), ('num_hl', 2), ('solver', 'adam')])",-2.824209308767162,-2.92284052440568,-2.785568497678455,-2.8442061102837655,0.05779738392938352,20
12,673.7370828787485,74.75670133686273,0.45928796132405597,0.0042715925121603665,tanh,6.257021958780006e-05,32,1652,772,adaptive,0.023140028185672235,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.257021958780006e-05), ('batch_size', 32), ('layer1', 1652), ('layer2', 772), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.023140028185672235), ('num_hl', 2), ('solver', 'adam')])",-2.5587278488820746,-2.9467623239769924,-2.439035678385504,-2.6481752837481904,0.21671366571891165,10
13,480.1196738084157,96.79221294261397,0.5206365585327148,0.00654245109730818,tanh,6.296833977742694e-05,128,1936,306,adaptive,0.03428667193725886,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.296833977742694e-05), ('batch_size', 128), ('layer1', 1936), ('layer2', 306), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.03428667193725886), ('num_hl', 2), ('solver', 'adam')])",-2.7333019091792337,-2.581672737024731,-2.60239077849713,-2.639121808233698,0.06713036010229863,8
14,507.38928922017413,52.47946715881035,0.5145812829335531,0.006293029715940428,tanh,6.594589082541454e-05,32,1903,404,adaptive,0.03570284720367294,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.594589082541454e-05), ('batch_size', 32), ('layer1', 1903), ('layer2', 404), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.03570284720367294), ('num_hl', 2), ('solver', 'adam')])",-2.4813636625476065,-2.9359493572124618,-2.664685563214354,-2.6939995276581405,0.18673781947254453,15
15,171.35106229782104,7.360929924386986,0.206207275390625,0.002726463061089347,tanh,7.937796972435406e-05,256,1008,765,adaptive,0.05699017431400161,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 7.937796972435406e-05), ('batch_size', 256), ('layer1', 1008), ('layer2', 765), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.05699017431400161), ('num_hl', 1), ('solver', 'adam')])",-2.549493407431314,-2.776751299985475,-2.802532485692311,-2.7095923977030334,0.11369530156997301,18
16,526.1040054162344,21.028707007717873,0.3541543483734131,0.0018714295866704889,tanh,5.90630890793657e-05,8,1262,527,adaptive,0.04228768091899538,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 5.90630890793657e-05), ('batch_size', 8), ('layer1', 1262), ('layer2', 527), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.04228768091899538), ('num_hl', 2), ('solver', 'adam')])",-3.7958112066961465,-2.7412737425702853,-5.189038436795587,-3.9087077953540064,1.0024793362365492,30
17,171.22280724843344,10.67875058794846,0.27259627978007,0.002772968979475892,tanh,2.279077574809617e-05,256,1000,320,adaptive,0.09192709081820827,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 2.279077574809617e-05), ('batch_size', 256), ('layer1', 1000), ('layer2', 320), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.09192709081820827), ('num_hl', 2), ('solver', 'adam')])",-2.370206379289696,-2.4928135460809635,-2.432107521504242,-2.4317091489583005,0.05005495887961175,1
18,222.29110797246298,33.639362380195315,0.2670188744862874,0.004204000366016175,tanh,3.8880131004117616e-05,256,1000,996,adaptive,0.08961119078401014,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 3.8880131004117616e-05), ('batch_size', 256), ('layer1', 1000), ('layer2', 996), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.08961119078401014), ('num_hl', 1), ('solver', 'adam')])",-2.7913428700298657,-2.7007656042308765,-2.5514944364654735,-2.681200970242072,0.09889017122768094,14
19,116.26347835858662,16.32447995896346,0.2715957959493001,0.002970798313167217,tanh,0.0001,256,1000,300,adaptive,0.1,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.0001), ('batch_size', 256), ('layer1', 1000), ('layer2', 300), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.1), ('num_hl', 2), ('solver', 'adam')])",-2.4367502691541048,-3.0133798575713566,-2.6395124322875367,-2.696547519671,0.2388377014546234,16
