,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
23,119.44725410143535,27.982835096284134,0.0892175833384196,0.02471984954426192,tanh,0.05,"(1176, 588)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.9716790839343155,-3.0026650991146764,-2.8034923686352307,-2.925945517228074,0.0875066225471541,63
24,190.2307594617208,50.59666506848658,0.0789792537689209,0.00837825744031606,tanh,0.05,"(1176, 588, 294)",constant,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.0068446808684492,-1.9969528408120507,-2.1320767229176583,-2.045291414866053,0.06149921080867294,19
25,15.780143817265829,1.0402814831087785,0.072418212890625,0.0204466241095682,tanh,0.05,"(1176, 588, 294)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.800641893034108,-3.097288279167766,-2.8563822061839304,-2.918104126128602,0.1287296033106659,61
26,190.45461932818094,30.10305579237116,0.06728140513102214,0.011377483933997201,tanh,0.05,"(1176, 588, 294)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-1.9757931641510913,-1.9702374091418136,-2.121010607053021,-2.0223470601153086,0.06980252251496546,13
27,15.331694761912027,0.8715339724016764,0.07488457361857097,0.00862876951927719,tanh,0.05,"(1176, 588, 294)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.9547916051339804,-3.0315301286655223,-2.802043543215844,-2.9294550923384493,0.09538510500707717,64
28,183.6958633263906,18.930488044036526,0.06049807866414388,0.0190889274454375,tanh,0.05,"(1176, 294, 147)",constant,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.007601203239575,-1.9650227922491421,-2.0875851006854687,-2.0200696987247286,0.050806675395120925,12
29,12.997364521026611,0.8984203762793108,0.06526859601338704,0.009887645447012951,tanh,0.05,"(1176, 294, 147)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-3.1884896640395626,-2.7977288851779716,-3.0673042857265687,-3.017840944981368,0.16331659056851552,65
30,181.90968370437622,36.154288109034475,0.08976467450459798,0.021414350951891512,tanh,0.05,"(1176, 294, 147)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.0134886973833543,-2.1382193694902827,-2.1319345877643134,-2.094547551545983,0.05737466339163164,33
31,45.358200788497925,47.97222663483224,0.07519419987996419,0.02074247495629577,tanh,0.05,"(1176, 294, 147)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.7966392309782613,-2.733364329001636,-2.841207212679882,-2.790403590886593,0.0442469154896665,42
32,220.79988368352255,51.93444454099607,0.0727396011352539,0.0059261742053371225,tanh,0.05,"(1176, 588, 294, 147)",constant,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.1413502199431327,-1.9364770129624471,-2.197613149429198,-2.0918134607782597,0.11221538315107658,32
33,16.39596962928772,1.0974354463899034,0.10124754905700684,0.0025604883428175193,tanh,0.05,"(1176, 588, 294, 147)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.877280812687044,-2.714220482671223,-2.9254489629254112,-2.8389834194278927,0.09038578599705471,50
34,219.77719195683798,13.133263620448675,0.10095127423604329,0.04572248942574205,tanh,0.05,"(1176, 588, 294, 147)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-1.9846832143682465,-2.1137166276596178,-2.08826486200013,-2.062221568009331,0.05580379501923882,26
35,17.023834228515625,0.33537403891887596,0.1012113889058431,0.04298144722778327,tanh,0.05,"(1176, 588, 294, 147)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.961841345418362,-2.7147200632429196,-2.846813359846507,-2.8411249228359297,0.10096699382381072,52
36,258.73718786239624,7.116440746723209,0.07156920433044434,0.017091619082359875,tanh,0.05,"(1176, 294, 147, 73)",constant,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.078252882745619,-2.226108517154797,-2.097214010599691,-2.1338584701667025,0.06568832706731538,36
37,12.3541632493337,0.6683283950291955,0.0536194642384847,0.004310653001684001,tanh,0.05,"(1176, 294, 147, 73)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.878990810821372,-2.7564764777576807,-2.865774850483788,-2.8337473796876136,0.054904520856423306,48
38,304.7283527851105,87.98175830327284,0.04524421691894531,0.005492817299464482,tanh,0.05,"(1176, 294, 147, 73)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.223343127980059,-2.129002908821236,-2.1101644721145356,-2.15417016963861,0.04951360283577931,38
39,12.185250043869019,0.5018960470983331,0.05708853403727213,0.011945773344571762,tanh,0.05,"(1176, 294, 147, 73)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.8615010028955115,-2.7964464156660114,-2.86338291326705,-2.8404434439428576,0.031120082150243256,51
